CODE,LIBELLE,LIEN_RAYON,CPTE_VENTE_LOCAL,CPTE_VENTE_CEE,CPTE_VENTE_HORS_CEE,CPTE_VENTE_EXO,CPTE_ACHAT_LOCAL,CPTE_ACHAT_CEE,CPTE_ACHAT_HORS_CEE,CPTE_ACHAT_EXO,CODE_TVA,TR_ELIGIBLE,WEB_ID,WEB_EXPORT
1,"NETTOYAGE 20%",3,,,,,,,,,,2,,
2,"MENAGE 20%",3,,,,,,,,,,2,,
7,"BISCUITERIE 5.5%",1,,,,,,,,,,2,,
15,"CHARCUTERIE",6,,,,,,,,,,2,,
16,"SURGELES",7,,,,,,,,,,2,,
310,"NON ALIMENTAIRE 5.5%",3,,,,,,,,,,2,,
320,"NON ALIMENTAIRE 20%",3,,,,,,,,,,2,,
330,"NON ALIMENTAIRE 10%",3,,,,,,,,,,2,,
400,"LEGUMES",4,,,,,,,,,,2,,
401,"FRUITS",4,,,,,,,,,,2,,
510,"CONSERVES 5.5%",1,,,,,,,,,,2,,
520,"EPICERIE 20%",1,,,,,,,,,,2,,
610,"PETITE EPICERIE 5.5%",1,,,,,,,,,,2,,
620,"PETITE EPICERIE 20%",1,,,,,,,,,,2,,
630,"EPICERIE 10%",1,,,,,,,,,,2,,
810,"CONFISERIE 5.5%",1,,,,,,,,,,2,,
820,"CONFISERIE 20%",1,,,,,,,,,,2,,
910,"VINS COURANTS 5.5%",2,,,,,,,,,,2,,
920,"VINS COURANT 20%",2,,,,,,,,,,2,,
1020,"VINS FINS 20%",2,,,,,,,,,,2,,
1110,"APERITIFS ET SPIRITUEUX",2,,,,,,,,,,2,,
1120,"APERITIF ET SPIRITUEUX 20%",2,,,,,,,,,,2,,
1210,"BRASSERIE 5.5%",2,,,,,,,,,,2,,
1220,"BRASSERIE 20%",2,,,,,,,,,,2,,
1410,"FRAIS 5.5%",5,,,,,,,,,,2,,
1420,"FRAIS 20%",5,,,,,,,,,,2,,
8010,"BOULANGERIE",8,,,,,,,,,,2,,
