CODE,CODE_INTERNE,LIBELLE,CODE_RAYON,CODE_FAMILLE,CODE_TVA,PVTTC,PVHT,TAUX_TVA
0,96677,SACHET 125G AIL MAGDA,7,16,1,2.96,2.81,5.5
2677613,112082,2.BROCHET.POULET SAVEUR ORIENT,6,15,1,17.41,16.5,5.5
2677644,112078,PALETT.1/2SEL S/VID.585G S.MGE,6,15,1,9.93,9.41,5.5
30000117,38395,1/10 PATE PUR PORC HENAFF,1,510,1,1.26,1.19,5.5
30005501,79157,BT.100G.CREME ROQUEFORT,5,1410,1,2.4,2.27,5.5
30040021,74454,BTE SEVE DE PIN 60G,1,820,2,1.06,0.88,20
30040892,78222,25CL CREME ENT.UHT ELVIRE 30%,5,1410,1,2.2,2.09,5.5
30102903,11620,P.32F OCB SLIM PREM.+ FILTRE,3,320,2,2.7,2.25,20
30182141,65327,BOUIL.65G RISOTTO POULET/CHAMP,1,610,1,1.04,0.99,5.5
40052397,67385,41G5 KIT KAT,1,820,2,1,0.83,20
40052496,67384,TRIO KIT KAT 124G5,1,820,2,1.79,1.49,20
40063690,21690,TUBE 100ML CREME NIVEA,3,320,2,2.54,2.12,20
40111216,67156,BOUNTY LAIT 57G,1,820,2,1,0.83,20
40111445,67202,M&M'S CACAHUETE 45G,1,810,1,1,0.95,5.5
40122250,64429,CORNICHONS PAYSANNE 185G KUHNE,1,610,1,1.79,1.7,5.5
40144283,72742,S/175G WERTHER'S ORIGINAL,1,820,2,1.89,1.58,20
40345192,67334,TUBES 38G SMARTIES,1,810,1,1,0.95,5.5
40804361,63649,B.375ML PIMENT VERT E.F KUHNE,1,610,1,1.78,1.69,5.5
40822938,3109,50CL FANTA ORANGE,2,1210,1,0.95,0.9,5.5
40883069,20065,250ML DCHE LENDEMAIN DIF AXE,3,320,2,2.79,2.33,20
42099017,2669,50CL POWERADE G.CERISE,2,1210,1,1.9,1.8,5.5
42153184,20066,250ML DCHE AXE DARK TEMPATION,3,320,2,2.79,2.33,20
42269861,21667,P.200ML CREME CARE NIVEA,3,320,2,4.99,4.16,20
42390091,21688,T.75ML HAND REPAIR&CARE NIVEA,3,320,2,3.14,2.62,20
42395027,67337,TRIO SMARTIES 3X34G,1,810,1,1.58,1.5,5.5
50097852,22363,50ML DEO BIL.CLEAR AQUA REXONA,3,320,2,3.23,2.69,20
50196135,3954,70CL WHISKY BLACK & WHITE 40ø,2,1120,2,13.99,11.66,20
54112018,1595,BTL 33CL BRUGGE TRIPEL BL.8.7ø,2,1220,2,2.36,1.97,20
54491069,2584,50CL SPRITE 403382,2,1210,1,1.02,0.97,5.5
54492653,2666,50CL POWERADE ICE STORM,2,1210,1,1.9,1.8,5.5
54492806,2667,50CL POWERADE CITRON,2,1210,1,1.9,1.8,5.5
59032823,48374,POT 630G NUTELLA,1,610,1,5.25,4.98,5.5
76145568,67569,L.3X50G TOBLERONE,1,820,2,2.52,2.1,20
80051237,77883,KINDER PARADISO T4 116G,5,1410,1,2.15,2.04,5.5
80052043,73156,BTE TIC TAC MENTHE 18G R50487,1,820,2,1.2,1,20
80135463,48364,VERRE 200G NUTELLA R40222,1,610,1,2.99,2.83,5.5
80310709,73158,BTE TIC TAC MENT.EX.FRAICH.18G,1,820,2,0.94,0.78,20
80310891,73227,OEUFS KINDER JOY,1,820,2,1.3,1.08,20
80725725,70206,B.50DR.MENTOS GUM FRESH MINT,1,820,2,3.42,2.85,20
80730217,70213,B.50DR.MENTOS GUM FRESH CITRUS,1,820,2,3.42,2.85,20
80739074,73148,BTE TIC TAC FRAMB/MYRTILLE 18G,1,820,2,1.2,1,20
80761761,73287,39G BAR.BUENO WHITE,1,810,1,1,0.95,5.5
80785293,70208,B.50DR.MENTOS GUM FRESH CHLORO,1,820,2,3.42,2.85,20
80803522,70211,B.50DR.MENTOS GUM FRESH FRAISE,1,820,2,4.88,4.07,20
80820437,73196,BTE TIC TAC FESTIVAL 18G,1,820,2,0.94,0.78,20
80941347,73229,OEUFS KINDER SURPRISE,1,820,2,1.2,1,20
87108019,72699,ROULEAU MENTOS MENTHE 38g,1,820,2,1,0.83,20
87108026,72729,ROULEAU MENTOS FRUIT 38g,1,820,2,1,0.83,20
87108057,72796,ROULEAU MENTOS POMME 38g,1,820,2,0.01,0.01,20
87157215,63453,FL.S.250G KETCHUP T.D.HEINZ,1,610,1,1.9,1.8,5.5
87157239,63488,FL.S.570G KETCHUP HEINZ TOP UP,1,610,1,1.9,1.8,5.5
87167993,1507,B.50CL MAXIMATOR 11ø6AMSTERDAM,2,1220,2,2.65,2.21,20
87340570,22406,100ML DEO DOVE ORIGINAL ZERO,3,320,2,4.13,3.44,20
87343588,22402,100ML DEO BRUT ORIGINAL,3,320,2,3.74,3.12,20
